NOMBRE,CATEGORIA,COD_REG,NOM_REG,COD_PROV,NOM_PROV,COD_COM,NOM_COM,COD_DIS,NOM_DIS,ID,Norte,Este UTM Huso 19 Sur,point_latitude,point_longitude
Buen Retiro,Otros,03,Atacama,033,Huasco,03301,Vallenar,0330105,Los Canales,2494,6841257.77248000000,314791.38355200000,-28.5423169,-70.893059
Altar De La Virgen,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310304,San Antonio,2495,6902781.82897000000,403530.42640100000,-27.99664252,-69.98109694
Vizcachas,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310304,San Antonio,2496,6904724.74143000000,401589.21678800000,-27.97896366,-70.00067469
El Giro,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310304,San Antonio,2497,6904772.68706000000,401334.35536200000,-27.97851203,-70.00326188
El Canelo,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310304,San Antonio,2498,6910133.21162000000,400408.17236600000,-27.93005924,-70.012227
Iglesia Colorada,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310303,La Junta,2499,6889795.80933000000,407966.49701100000,-28.11416899,-69.93700288
La Florida,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310301,Tierra Amarilla,2500,6965362.34167000000,374837.46562200000,-27.42943394,-70.26631207
Beltrßn,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310301,Tierra Amarilla,2501,6964682.81467000000,374804.47887500000,-27.4355642,-70.26671577
MarÝa Isabel,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310301,Tierra Amarilla,2502,6964041.22244000000,374692.32393300000,-27.44134477,-70.26791651
Los Olivos,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310301,Tierra Amarilla,2503,6963802.06852000000,375112.90496300000,-27.44354199,-70.26368632
RÝo Blanco,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310301,Tierra Amarilla,2504,6963422.72092000000,375294.33207500000,-27.44698255,-70.26188985
Ready Mix,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310301,Tierra Amarilla,2505,6963332.00736000000,374675.83055900000,-27.44774449,-70.26815656
AgrÝcola Buitr¾n,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310301,Tierra Amarilla,2506,6962960.90646000000,375286.08538800000,-27.45115004,-70.26202073
Santa FÚ,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310301,Tierra Amarilla,2507,6962012.53747000000,375475.75918600000,-27.45972722,-70.26019905
Vi±a MarÝa,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310306,Bordos,2508,6937519.49069000000,378643.95056600000,-27.68108226,-70.23060668
AgrÝcola Del Sol,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310306,Bordos,2509,6929189.37036000000,384071.50093700000,-27.75674582,-70.17638514
El Puente,Otros,03,Atacama,031,Copiap¾,03103,Tierra Amarilla,0310306,Bordos,2510,6930364.34850000000,383409.86276300000,-27.74608356,-70.18298333
Las Lomitas,Otros,03,Atacama,032,Cha±aral,03201,Cha±aral,0320101,Cha±aral,2511,7106882.47516000000,335867.06167700000,-26.1480617,-70.64198109
La Isla,Otros,03,Atacama,032,Cha±aral,03201,Cha±aral,0320101,Cha±aral,2512,7108525.17098000000,337253.55722900000,-26.13339211,-70.62790942
Lo Amarillo,Otros,03,Atacama,032,Cha±aral,03201,Cha±aral,0320101,Cha±aral,2513,7107379.80509000000,337117.92179500000,-26.14371488,-70.62940924
El Soldado,Otros,03,Atacama,032,Cha±aral,03201,Cha±aral,0320101,Cha±aral,2514,7106355.00403000000,333470.83567000000,-26.15254735,-70.66601245
Planta Yeso,Otros,03,Atacama,032,Cha±aral,03201,Cha±aral,0320103,Flamenco,2515,7031992.11939000000,388169.04197300000,-26.829149,-70.12541654
Luisa,Otros,03,Atacama,032,Cha±aral,03201,Cha±aral,0320103,Flamenco,2516,7036964.75539000000,384896.45246400000,-26.7839953,-70.15788901
